"f","q","n","r","s","pb_mean","quant"
1,1,100,4.94,5.36,1.1181,1.8819
1,1,200,4.94,5.36,3.08914,3.08914
1,1,300,4.94,5.36,5.2637,4.2637
1,1,400,4.94,5.36,7.5149,4.5149
2,1,100,5.2,5.6,1.57572,2.42428
2,1,200,5.2,5.6,4.08816,3.08816
2,1,300,5.2,5.6,6.81179,4.18821
2,1,400,5.2,5.6,9.63276,5.36724
3,1,100,3.03,3.28,1.13666,1.86334
3,1,200,3.03,3.28,4.16194,3.83806
3,1,300,3.03,3.28,7.97663,5.02337
3,1,400,3.03,3.28,12.21891,6.21891
4,1,100,1.92,2.12,5.83692,4.83692
4,1,200,1.92,2.12,14.72005,7.72005
4,1,300,1.92,2.12,24.39205,9.60795
4,1,400,1.92,2.12,34.50131,11.50131
5,1,100,0.3,0.31,1.20783,1.79217
5,1,200,0.3,0.31,4.15623,4.15623
5,1,300,0.3,0.31,7.88744,5.88744
5,1,400,0.3,0.31,12.01955,7.01955
6,1,100,1.78,1.91,0.66466,1.33534
6,1,200,1.78,1.91,2.15445,2.84555
6,1,300,1.78,1.91,3.83057,4.16943
6,1,400,1.78,1.91,5.61704,5.38296
7,1,100,1.28,1.32,3.87864,4.12136
7,1,200,1.28,1.32,13.6156,8.6156
7,1,300,1.28,1.32,24.66469,12.33531
7,1,400,1.28,1.32,35.49537,15.49537
4,2,100,2.96,3.04,0.58043,1.41957
4,2,200,2.96,3.04,1.72835,2.27165
4,2,300,2.96,3.04,3.10167,3.10167
4,2,400,2.96,3.04,4.60944,4.39056
5,2,100,0.39,0.4,0.00934,0.00934
5,2,200,0.39,0.4,0.06275,0.93725
5,2,300,0.39,0.4,0.15534,0.84466
5,2,400,0.39,0.4,0.28665,0.71335
6,2,100,2.71,2.8,0.0357,0.0357
6,2,200,2.71,2.8,0.11214,0.88786
6,2,300,2.71,2.8,0.20752,0.79248
6,2,400,2.71,2.8,0.30874,0.69126
7,2,100,1.46,1.47,0.25987,0.74013
7,2,200,1.46,1.47,1.69133,3.30867
7,2,300,1.46,1.47,4.25397,4.74603
7,2,400,1.46,1.47,7.68156,6.68156
